from	to	score
AGO2	DDX6	998
AGO2	DGCR8	967
AGO2	DHX9	997
AGO2	FMR1	997
AGO2	FXR1	996
AGO2	GEMIN4	988
AGO2	HTT	942
AGO2	IPO8	966
AGO2	MECP2	925
AGO2	NOTCH1	931
AGO2	NOTCH3	912
AGO2	NUP107	901
AGO2	NUP133	900
AGO2	NUP214	904
AGO2	NUP54	900
AGO2	NUP62	903
AGO2	PRORP	900
AGO2	PTEN	960
AGO2	RANBP2	917
AGO2	SOX2	931
AGO2	TNRC6B	990
AGO2	TP53	972
AGO2	TPR	929
AGRN	CDC42	928
AGRN	DAG1	999
AGRN	EXT2	930
AGRN	LAMA1	922
AGRN	LAMA2	936
AGRN	LAMB2	926
AHCY	ADK	965
AHCY	DNMT1	961
AHCY	DNMT3A	936
AHCY	MTR	983
AHI1	CC2D2A	990
AHI1	CEP290	987
AHI1	MKS1	952
AHI1	RPGRIP1L	929
AHI1	TCTN1	955
AHI1	TCTN3	928
AHI1	TMEM216	956
AHI1	TMEM67	985
ALDH18A1	PRODH	948
ALDH18A1	PYCR1	987
ALDH3A2	ABAT	929
ALDH3A2	ACSF3	918
ALDH3A2	ALDH6A1	940
ALDH3A2	COMT	928
ALDH3A2	EMD	901
ALDH3A2	GLYCTK	903
ALDH3A2	PEX11B	916
ALDH3A2	PEX12	912
ALDH3A2	PEX14	900
ALDH3A2	PEX2	911
ALDH5A1	ABAT	996
ALDH6A1	ACACA	918
ALDH7A1	ACSF3	945
ALDH7A1	ALDH6A1	984
ALDH7A1	GLYCTK	912
ALDOA	FBP1	971
ALDOA	LDHA	946
ALDOA	TKT	974
ALG1	ALG11	955
ALG1	ALG13	983
ALG1	ALG14	978
ALG1	ALG2	976
ALG1	ALG6	910
ALG1	DPM1	973
ALG1	DPM2	941
ALG12	ALG3	987
ALG12	ALG6	948
ALG12	ALG9	998
ALG13	DPAGT1	999
ALG14	ALG13	999
ALG14	DPAGT1	996
ALG2	ALG11	943
ALG3	ALG11	987
ALG3	ALG9	997
ALG6	ALG3	985
ALG6	ALG9	989
ALG8	ALG12	941
ALG8	ALG3	921
ALG8	ALG6	959
ALG8	ALG9	930
ALPL	COL4A1	913
ALPL	GCH1	900
ALS2	GDI1	908
AMACR	HSD17B4	972
AMACR	IDH1	913
AMER1	CTNNB1	994
AMFR	VCP	999
AMMECR1	ACSL4	930
AMN	CUBN	999
AMPD1	ADSL	963
AMPD2	ADK	970
AMPD2	ADSL	956
AMPD2	ENTPD1	944
AMPD2	HPRT1	931
AMPD2	IMPDH1	948
AMPD2	IMPDH2	952
AMPD2	ITPA	930
ANAPC7	PCGF2	900
ANG	RNH1	999
ANK3	KCNQ2	995
ANK3	KCNQ3	995
ANK3	NFASC	996
ANK3	NRCAM	995
ANK3	SCN2A	989
ANK3	SCN8A	976
ANK3	SPTBN1	973
ANKLE2	PPP2CA	901
ANKLE2	PTPA	918
ANOS1	FGF17	943
ANOS1	FGF8	975
ANOS1	FGFR1	997
AP1G1	AP1S2	998
AP1G1	ARF1	914
AP1G1	CLTC	980
AP1S1	AP1G1	998
AP1S1	AP1S2	947
AP1S1	AP4B1	961
AP1S1	AP4M1	963
AP1S1	CLTC	956
AP1S1	DNAJC6	939
AP1S1	KCNQ5	900
AP2M1	AP1G1	967
AP2M1	AP1S1	975
AP2M1	AP1S2	910
AP2M1	AP4B1	986
AP2M1	AP4M1	921
AP2M1	AP5Z1	910
AP2M1	BIN1	919
AP2M1	CLTC	990
AP2M1	CLTCL1	925
AP2M1	DNM1	953
AP2M1	EDN1	900
AP2M1	GRIA2	926
AP2M1	GRIA3	918
AP2M1	KCNQ5	907
AP2M1	NECAP1	976
AP2M1	PPP3CA	905
AP2M1	REPS1	936
AP2M1	SYNJ1	970
AP2M1	UBQLN2	912
AP3D1	AP3B2	975
AP4B1	AP1G1	901
AP4B1	ARF1	901
AP4B1	DNAJC6	915
AP4B1	OCRL	908
AP4E1	AP1S1	970
AP4E1	AP2M1	962
AP4E1	AP4B1	999
AP4E1	AP4M1	997
AP4E1	AP5Z1	961
AP4E1	ARF1	914
AP4E1	DNAJC6	945
AP4E1	NECAP1	914
AP4E1	OCRL	914
AP4M1	AP4B1	993
AP4S1	AP1S1	908
AP4S1	AP2M1	954
AP4S1	AP4B1	998
AP4S1	AP4E1	998
AP4S1	AP4M1	993
AP4S1	AP5Z1	965
AP5Z1	AP1S1	929
AP5Z1	AP4B1	961
AP5Z1	AP4M1	958
APC	AMER1	995
APC	CDC42	981
APC	CTBP1	981
APC	CTNNB1	999
APC	LRP5	968
APC	NOTCH1	946
APC	PPP2R5D	902
APC	RAC1	938
APC	SIAH1	972
APOE	APP	998
APOE	ERBB4	912
APOE	MAPT	997
APOE	PEX3	900
APOE	PSEN1	902
APOE	RELN	988
APOE	SNCA	970
APOE	SORL1	995
APOE	TOMM40	923
APOE	TREM2	995
APOE	VLDLR	997
APP	AP4M1	974
APP	CRYAB	905
APP	DAB1	944
APP	ITM2B	988
APP	MAPT	969
APP	NAE1	997
APP	PRNP	993
APP	PSEN1	999
APP	PSEN2	970
APP	RELN	963
APP	SNCA	987
APP	TOMM40	985
AQP4	GFAP	908
AQP4	TRPV4	991
AR	DYNC1I2	903
AR	GNB1	900
AR	HRAS	955
AR	KDM1A	998
AR	SPOP	965
ARF1	IQSEC1	956
ARFGEF1	ARF1	960
ARFGEF1	GNB1	902
ARFGEF2	ARF1	967
ARFGEF2	GNB1	902
ARG1	ACY1	916
ARHGAP31	ZEB2	957
ARHGEF2	DAB1	901
ARHGEF2	RELN	900
ARHGEF9	CDC42	991
ARHGEF9	GPHN	994
ARID1A	ACTB	986
ARID1A	ARID1B	988
ARID1A	BAZ1B	956
ARID1A	BICRA	943
ARID1A	DPF2	996
ARID1A	NF1	959
ARID1A	POLR2A	920
ARID1A	SMARCA4	999
ARID1A	SMARCD1	999
ARID1A	SMARCE1	999
ARID1A	VDR	914
ARID1B	BICRA	940
ARID1B	DPF2	986
ARID1B	SMARCA4	999
ARID1B	SMARCD1	997
ARID2	SMARCA4	999
ARID2	SMARCD1	996
ARL13B	GFAP	917
ARL13B	IFT74	929
ARL3	PDE6D	991
ARL6	TTC8	928
ARNT2	SIM1	910
ARPC5	CYFIP2	928
ARPC5	PDGFB	900
ARPC5	WASF1	956
ARSA	GALC	965
ARSA	NEU1	906
ARSA	SUMF1	985
ASAH1	ACER3	955
ASCC1	ASCC3	991
ASCL1	TCF4	938
ASNS	ASPA	909
ASNS	CAD	957
ASNS	GARS1	945
ASNS	GOT2	961
ASNS	NAT8L	907
