gene_symbol	hpo_id	hpo_name
ATP6V1E1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
KIF5A	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CDKN1C	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
IGF2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
KCNQ1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
KCNQ1OT1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ALG3	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
VPS4A	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
LRPPRC	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
LAMB1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
NCAPG2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ALX4	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
NEK1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
PACS2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
RNU4ATAC	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
IFT172	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ROBO1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
FOSL2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TMEM237	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
COQ4	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
HHAT	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
INPP5E	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ACBD6	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
PPFIBP1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
DAG1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
NPHP1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
NSD1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
APC2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CSPP1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
KIAA0586	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
PIGU	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CDC42BPB	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
H3-3A	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TMEM218	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
RERE	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
RPGRIP1L	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TUBB2A	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SRD5A3	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
AHI1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CEP120	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
MKS1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CEP41	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
PSAT1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SEMA6B	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
KNL1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TUBA1A	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
COG1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
GMPPB	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
FKRP	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
POMT2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
LARGE1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
POMT1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
MBD5	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TUBB2B	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TUBB3	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
RAB3GAP1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TUBB	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ATP6V0A2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
DYNC1H1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ZNF423	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
DPH1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TSEN2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CEP164	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
THG1L	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TBCK	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CENPF	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TMEM231	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TMEM138	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TMEM216	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
CC2D2A	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TOGARAM1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
PCGF2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
LNPK	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
DENND5A	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SACS	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ZEB2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TCTN1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
TSEN34	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SYT2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ATN1	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
MAPKAPK5	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ATR	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
WARS2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
C2CD3	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
EIF4A2	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
ATP2B3	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
SLC25A19	HP:0006817	Aplasia/Hypoplasia of the cerebellar vermis
