from	to	score
MRE11	ATR	985
MUSK	CDC42	932
MYOD1	MEF2C	991
MYOD1	SMARCA4	943
NPHP1	AHI1	977
NPHP1	CC2D2A	903
NPHP1	CEP290	940
NPHP1	RPGRIP1L	988
NPHP1	TMEM67	935
NRAS	FGFR1	964
NRAS	HRAS	987
OFD1	GLI3	935
OFD1	KIAA0753	910
OFD1	SUFU	911
PAFAH1B1	CDC42	957
PDE6D	ARL13B	981
PDE6D	INPP5E	930
PHGDH	PSAT1	999
PI4KA	PTEN	928
PIGU	PGAP1	964
PLG	IGF2	929
PMM2	GMPPB	968
POLR1A	POLR3A	986
POLR3A	BRF1	951
POMGNT1	B4GALT1	925
POMGNT1	DAG1	985
POMGNT1	POMT1	995
POMGNT2	B3GALNT2	996
POMGNT2	DAG1	968
POMGNT2	POMGNT1	989
POMGNT2	POMT1	993
POMK	B3GALNT2	993
POMK	DAG1	967
POMK	POMGNT2	943
POMK	POMT1	918
POMT1	DAG1	987
POMT2	DAG1	986
POMT2	FKRP	911
POMT2	POMGNT1	995
POMT2	POMGNT2	988
POMT2	POMT1	905
PRKDC	MRE11	908
PTEN	HRAS	928
RAB3GAP1	RAB18	960
RAB3GAP2	RAB18	933
RAB3GAP2	RAB3GAP1	999
RAC1	ARHGEF2	970
RAC1	CDC42	906
RAC1	DAG1	903
RAC1	HRAS	936
RAC1	LAMA1	904
RAC1	MUSK	914
RAC1	NRAS	935
RAC1	PAFAH1B1	930
RAC1	ROBO1	918
RAP1B	CDC42	965
RAPSN	DAG1	994
RAPSN	DOK7	913
RAPSN	LAMA1	900
RAPSN	MACF1	939
RAPSN	MUSK	999
RPE65	LRAT	987
RPGRIP1L	CC2D2A	937
RPGRIP1L	CEP290	971
RPGRIP1L	GLI3	948
RPGRIP1L	RPGRIP1	951
RPGRIP1L	TMEM67	960
RXYLT1	B4GAT1	984
RXYLT1	FKRP	986
RXYLT1	POMGNT1	924
RXYLT1	POMGNT2	943
RXYLT1	POMK	934
SMARCA4	DPF2	998
SMARCB1	ARID1A	999
SMARCB1	ARID1B	998
SMARCB1	ARID2	997
SMARCB1	DPF2	996
SMARCB1	SMARCA4	999
SMARCB1	SMARCC2	999
SMARCB1	SMARCD1	999
SMARCB1	SMARCE1	999
SMARCC2	ARID1A	999
SMARCC2	ARID1B	998
SMARCC2	ARID2	995
SMARCC2	DPF2	996
SMARCC2	SMARCA4	999
SMARCC2	SMARCD1	999
SMARCC2	SMARCE1	999
SMARCD1	DPF2	996
SMARCD1	SMARCA4	999
SMARCE1	ARID1B	997
SMARCE1	ARID2	997
SMARCE1	DPF2	996
SMARCE1	SMARCA4	999
SMARCE1	SMARCD1	999
SUFU	DYNC2H1	935
SUFU	GLI3	999
SUFU	KIF7	980
SUFU	MKS1	908
SUFU	RPGRIP1L	923
TAF4	TAF1	999
TAF4	TRRAP	982
TCTN1	CC2D2A	972
TCTN1	CEP290	949
TCTN1	TMEM216	963
TCTN1	TMEM67	972
TCTN2	AHI1	945
TCTN2	CC2D2A	977
TCTN2	CEP290	952
TCTN2	MKS1	957
TCTN2	TCTN1	915
TCTN2	TMEM107	944
TCTN2	TMEM216	972
TCTN2	TMEM67	979
TMEM107	MKS1	920
TMEM107	TMEM216	943
TMEM216	CEP290	968
TMEM216	TCTN3	958
TMEM231	AHI1	930
TMEM231	B9D1	991
TMEM231	CC2D2A	951
TMEM231	CEP290	926
TMEM231	MKS1	957
TMEM231	TCTN1	956
TMEM231	TCTN2	973
TMEM231	TMEM107	926
TMEM231	TMEM216	964
TMEM231	TMEM67	973
TMEM67	CC2D2A	991
TMEM67	CEP290	985
TMEM67	TCTN3	941
TMEM67	TMEM216	987
TRIP13	BUB1B	953
TSEN15	TSEN34	999
TSEN2	TSEN15	998
TSEN2	TSEN34	999
TSEN2	TSEN54	999
TSEN54	TSEN15	999
TSEN54	TSEN34	998
TUBA1A	DYNC1H1	978
TUBA1A	TUBB	973
TUBA1A	TUBB2A	998
TUBA1A	TUBB3	993
TUBA1A	TUBB4B	968
TUBB	TUBB4B	981
TUBB2B	DYNC1H1	979
TUBB2B	KIF5A	900
TUBB2B	TUBA1A	986
TUBB2B	TUBB2A	902
VLDLR	PAFAH1B1	977
VPS35L	CCDC22	981
VPS51	COG8	920
WDR35	DYNC2H1	921
WDR35	IFT140	995
WDR35	IFT74	913
