from	to	score
TUBB2B	TUBB2A	902
TUBA1A	TUBB2A	998
LAMB1	LAMA1	953
RAPSN	LAMA1	900
RAC1	LAMA1	904
B9D2	MKS1	933
TMEM231	MKS1	957
B9D1	MKS1	945
TCTN2	MKS1	957
TMEM107	MKS1	920
AHI1	MKS1	952
SUFU	MKS1	908
PDE6D	ARL13B	981
INPP5E	ARL13B	926
SUFU	KIF7	980
SMARCB1	SMARCD1	999
SMARCC2	SMARCD1	999
ARID1A	SMARCD1	999
SMARCE1	SMARCD1	999
ARID2	SMARCD1	996
ARID1B	SMARCD1	997
CPSF3	PPP1CB	930
IFT172	GLI3	954
EVC	GLI3	950
EVC2	GLI3	942
OFD1	GLI3	935
SUFU	GLI3	999
RPGRIP1L	GLI3	948
MKS1	GLI3	922
KIF7	GLI3	962
RAC1	PAFAH1B1	930
DYNC1H1	PAFAH1B1	999
BICD2	PAFAH1B1	958
VLDLR	PAFAH1B1	977
B9D2	TCTN1	989
TMEM231	TCTN1	956
B9D1	TCTN1	977
TCTN2	TCTN1	915
AHI1	TCTN1	955
MKS1	TCTN1	979
IFT172	DYNC2H1	966
IFT80	DYNC2H1	979
WDR35	DYNC2H1	921
SUFU	DYNC2H1	935
DYNC2I2	DYNC2H1	993
GLI3	DYNC2H1	945
RPGRIP1L	RPGRIP1	951
LAMB1	CDC42	906
RAP1B	CDC42	965
RAC1	CDC42	906
MUSK	CDC42	932
LAMA1	CDC42	906
PAFAH1B1	CDC42	957
DYNC2I2	DYNC2I1	996
DYNC2H1	DYNC2I1	990
FKTN	CRPPA	990
B9D2	TMEM67	970
TMEM231	TMEM67	973
B9D1	TMEM67	977
TCTN2	TMEM67	979
NPHP1	TMEM67	935
AHI1	TMEM67	985
RPGRIP1L	TMEM67	960
MKS1	TMEM67	992
TCTN1	TMEM67	972
PLG	IGF2	929
GPC3	IGF2	990
KRAS	FGFR1	979
NRAS	FGFR1	964
MYOD1	SMARCA4	943
H3-3A	SMARCA4	934
SMARCB1	SMARCA4	999
SMARCC2	SMARCA4	999
ARID1A	SMARCA4	999
SMARCE1	SMARCA4	999
ARID2	SMARCA4	999
ARID1B	SMARCA4	999
SMARCD1	SMARCA4	999
TSEN2	TSEN34	999
TSEN54	TSEN34	998
TSEN15	TSEN34	999
B9D2	CC2D2A	980
TMEM231	CC2D2A	951
B9D1	CC2D2A	992
TCTN2	CC2D2A	977
NPHP1	CC2D2A	903
AHI1	CC2D2A	990
RPGRIP1L	CC2D2A	937
MKS1	CC2D2A	985
TCTN1	CC2D2A	972
TMEM67	CC2D2A	991
IFT172	IFT74	979
IFT80	IFT74	984
WDR35	IFT74	913
ARL13B	IFT74	929
IFT172	IFT140	983
IFT80	IFT140	987
WDR35	IFT140	995
DYNC2H1	IFT140	957
IFT74	IFT140	963
TAF4	TAF1	999
KRAS	HRAS	989
CSF1R	HRAS	953
RAC1	HRAS	936
NRAS	HRAS	987
PTEN	HRAS	928
FGFR1	HRAS	981
TUBB2B	KIF5A	900
DYNC1H1	RAB3GAP1	911
BICD2	RAB3GAP1	900
RAB3GAP2	RAB3GAP1	999
RAC1	ROBO1	918
CDC42	ROBO1	948
DYNC2H1	NEK1	913
SMARCB1	DPF2	996
