from_gene	to_gene	combined_score
IMPDH1	RPGRIP1	459
RD3	RPGRIP1	517
CRB1	RPGRIP1	603
AHI1	RPGRIP1	562
RPGRIP1L	RPGRIP1	951
AIPL1	RPGRIP1	807
LCA5	RPGRIP1	623
SPATA7	RPGRIP1	897
LAMB1	CDC42	906
EXOC2	CDC42	659
RAP1B	CDC42	965
KRAS	CDC42	476
PDE6D	CDC42	424
COG1	CDC42	612
TUBA1A	CDC42	895
COG8	CDC42	573
ITPR1	CDC42	736
PRKDC	CDC42	401
RAB11B	CDC42	791
TUBB	CDC42	409
MEF2C	CDC42	729
FAR1	CDC42	463
OPHN1	CDC42	710
RAC1	CDC42	906
MACF1	CDC42	415
ARHGEF2	CDC42	767
CDC42BPB	CDC42	769
CRB1	CDC42	475
PTEN	CDC42	897
MUSK	CDC42	932
LAMA1	CDC42	906
PPP1CB	CDC42	732
PAFAH1B1	CDC42	957
IFT172	DYNC2I1	886
CSPP1	DYNC2I1	559
CEP120	DYNC2I1	653
IFT80	DYNC2I1	887
WDR35	DYNC2I1	881
EVC2	DYNC2I1	623
KIAA0586	DYNC2I1	616
DYNC1H1	DYNC2I1	843
DYNC2I2	DYNC2I1	996
PAFAH1B1	DYNC2I1	403
DYNC2H1	DYNC2I1	990
FKTN	CRPPA	990
RXYLT1	CRPPA	837
POMT2	CRPPA	874
GMPPB	CRPPA	636
B4GAT1	CRPPA	621
FKRP	CRPPA	850
POMK	CRPPA	714
POMGNT2	CRPPA	810
LARGE1	CRPPA	686
B3GALNT2	CRPPA	808
POMGNT1	CRPPA	769
POMT1	CRPPA	879
CPSF3	INTS1	778
CENPF	INTS1	415
ALG3	INTS1	817
POGZ	MBD5	402
ARID1B	MBD5	451
ASXL1	MBD5	761
CEP41	TMEM237	730
B9D2	TMEM237	725
TMEM231	TMEM237	830
IFT172	TMEM237	431
B9D1	TMEM237	769
KATNIP	TMEM237	452
CSPP1	TMEM237	660
TMEM138	TMEM237	775
PDE6D	TMEM237	501
CEP120	TMEM237	477
TCTN2	TMEM237	736
IQCB1	TMEM237	517
NPHP1	TMEM237	752
TMEM107	TMEM237	757
C2CD3	TMEM237	519
NPHP3	TMEM237	564
OFD1	TMEM237	602
KIAA0586	TMEM237	459
AHI1	TMEM237	698
CEP104	TMEM237	445
RPGRIP1L	TMEM237	726
LCA5	TMEM237	451
MKS1	TMEM237	683
ARL13B	TMEM237	606
KIF7	TMEM237	612
TCTN1	TMEM237	739
FIG4	WDR81	637
L1CAM	WDR81	430
VLDLR	WDR81	772
KNL1	AFF3	431
TRIP13	NCAPG2	720
BUB1B	NCAPG2	856
BUB1	NCAPG2	886
ESCO2	NCAPG2	683
CENPF	NCAPG2	673
KIF14	NCAPG2	551
DYNC2I1	NCAPG2	571
SMARCB1	WDR73	445
EPG5	WDR73	552
SMARCE1	WDR73	428
BUB3	WDR73	480
CEP41	CPLANE1	661
B9D2	CPLANE1	603
TMEM231	CPLANE1	783
IFT172	CPLANE1	467
B9D1	CPLANE1	685
KATNIP	CPLANE1	484
CSPP1	CPLANE1	711
TMEM138	CPLANE1	748
PDE6D	CPLANE1	473
CEP120	CPLANE1	470
TCTN2	CPLANE1	686
NPHP1	CPLANE1	614
TMEM107	CPLANE1	457
C2CD3	CPLANE1	689
NPHP3	CPLANE1	467
OFD1	CPLANE1	720
KIAA0586	CPLANE1	571
AHI1	CPLANE1	662
CEP104	CPLANE1	464
RPGRIP1L	CPLANE1	672
MKS1	CPLANE1	620
ARL13B	CPLANE1	566
KIF7	CPLANE1	628
TCTN1	CPLANE1	681
TMEM237	CPLANE1	735
CEP41	TMEM67	680
B9D2	TMEM67	970
TMEM231	TMEM67	973
IFT172	TMEM67	578
B9D1	TMEM67	977
KATNIP	TMEM67	422
CSPP1	TMEM67	631
TMEM138	TMEM67	795
CEP164	TMEM67	664
CEP120	TMEM67	461
TCTN2	TMEM67	979
IQCB1	TMEM67	677
IFT80	TMEM67	537
NPHP1	TMEM67	935
TMEM107	TMEM67	889
WDR35	TMEM67	699
FKRP	TMEM67	576
C2CD3	TMEM67	511
NPHP3	TMEM67	873
OFD1	TMEM67	724
KIAA0586	TMEM67	589
TXNDC15	TMEM67	418
RAB3GAP2	TMEM67	416
AHI1	TMEM67	985
CEP104	TMEM67	486
RPGRIP1L	TMEM67	960
MKS1	TMEM67	992
ARL13B	TMEM67	821
KIF7	TMEM67	603
TCTN1	TMEM67	972
DYNC2H1	TMEM67	528
TMEM237	TMEM67	819
CPLANE1	TMEM67	711
KCNQ1	IGF2	675
BMP4	IGF2	486
MYOD1	IGF2	811
KRAS	IGF2	549
CSF1R	IGF2	673
PLG	IGF2	929
PTEN	IGF2	562
GPC3	IGF2	990
SMARCB1	CHD7	609
SMARCC2	CHD7	715
SEMA3E	CHD7	522
ARID1A	CHD7	542
SMARCE1	CHD7	677
ARID2	CHD7	755
ARID1B	CHD7	523
TRRAP	CHD7	517
PHGDH	CHD7	552
POLR3A	CHD7	401
BCOR	CHD7	420
GJB2	CHD7	459
SMARCD1	CHD7	543
GLI3	CHD7	587
BMP4	FGFR1	587
H3-3A	FGFR1	589
KRAS	FGFR1	979
SMARCB1	FGFR1	513
ARID1A	FGFR1	459
ARID1B	FGFR1	539
NRAS	FGFR1	964
L1CAM	FGFR1	836
PTEN	FGFR1	691
CDC42	FGFR1	417
IGF2	FGFR1	756
CHD7	FGFR1	581
ITPR1	PACS2	683
TOGARAM1	PACS2	442
NCAPG2	PACS2	471
SOX4	SMARCA4	417
MYOD1	SMARCA4	943
H3-3A	SMARCA4	934
KRAS	SMARCA4	522
SMARCB1	SMARCA4	999
SMARCC2	SMARCA4	999
POGZ	SMARCA4	465
PRKDC	SMARCA4	430
USP9X	SMARCA4	472
ARID1A	SMARCA4	999
SMARCE1	SMARCA4	999
MRE11	SMARCA4	434
RBM10	SMARCA4	454
ARID2	SMARCA4	999
CCDC32	SMARCA4	822
ATR	SMARCA4	597
ARID1B	SMARCA4	999
TRRAP	SMARCA4	707
PTEN	SMARCA4	488
POLR3A	SMARCA4	495
SMARCD1	SMARCA4	999
GLI3	SMARCA4	400
DDX3X	SMARCA4	489
CHD7	SMARCA4	771
H3-3A	NSD1	407
SMG9	NSD1	553
BCOR	NSD1	528
CHD7	NSD1	442
SMARCA4	NSD1	409
TRIP13	TSEN34	875
TSEN2	TSEN34	999
TSEN54	TSEN34	998
TSEN15	TSEN34	999
RARS2	TSEN34	850
SEPSECS	TSEN34	562
CEP41	CC2D2A	691
B9D2	CC2D2A	980
TMEM231	CC2D2A	951
IFT172	CC2D2A	615
ARL3	CC2D2A	421
B9D1	CC2D2A	992
KATNIP	CC2D2A	470
CSPP1	CC2D2A	629
TMEM138	CC2D2A	746
CEP164	CC2D2A	521
PDE6D	CC2D2A	522
CEP120	CC2D2A	455
TCTN2	CC2D2A	977
IQCB1	CC2D2A	718
IFT80	CC2D2A	592
NPHP1	CC2D2A	903
TMEM107	CC2D2A	875
WDR35	CC2D2A	666
FKRP	CC2D2A	538
C2CD3	CC2D2A	574
NPHP3	CC2D2A	768
EVC2	CC2D2A	429
OFD1	CC2D2A	698
KIAA0586	CC2D2A	556
RAB3GAP2	CC2D2A	463
KIF21A	CC2D2A	510
AHI1	CC2D2A	990
RPGRIP1L	CC2D2A	937
LCA5	CC2D2A	622
MKS1	CC2D2A	985
ARL13B	CC2D2A	852
KIF7	CC2D2A	614
TCTN1	CC2D2A	972
DYNC2H1	CC2D2A	511
TMEM237	CC2D2A	757
CPLANE1	CC2D2A	722
TMEM67	CC2D2A	991
B9D2	IFT74	428
IFT172	IFT74	979
ARL3	IFT74	542
IFT80	IFT74	984
WDR35	IFT74	913
NPHP3	IFT74	414
EVC2	IFT74	428
DYNC2I2	IFT74	716
RPGRIP1L	IFT74	415
ARL13B	IFT74	929
DYNC2H1	IFT74	830
DYNC2I1	IFT74	744
TULP1	IFT140	492
B9D2	IFT140	664
IFT172	IFT140	983
B9D1	IFT140	645
CEP164	IFT140	654
CEP120	IFT140	559
IQCB1	IFT140	465
IFT80	IFT140	987
NPHP1	IFT140	575
WDR35	IFT140	995
NPHP3	IFT140	427
EVC2	IFT140	537
IMPDH1	IFT140	416
KIAA0586	IFT140	518
DYNC1H1	IFT140	467
TOGARAM1	IFT140	533
CRB1	IFT140	481
AHI1	IFT140	417
DYNC2I2	IFT140	876
RPGRIP1L	IFT140	517
LCA5	IFT140	468
MKS1	IFT140	691
SPATA7	IFT140	514
ARL13B	IFT140	674
KIF7	IFT140	409
DYNC2H1	IFT140	957
DYNC2I1	IFT140	894
TMEM67	IFT140	584
CC2D2A	IFT140	679
IFT74	IFT140	963
TAF4	TAF1	999
SMARCB1	TAF1	798
SMARCC2	TAF1	460
TRRAP	TAF1	540
CHD7	TAF1	539
SMARCA4	TAF1	777
RAP1B	HRAS	731
PI4KA	HRAS	409
KRAS	HRAS	989
SMARCB1	HRAS	579
CSF1R	HRAS	953
PDE6D	HRAS	851
PRKDC	HRAS	446
TUBB3	HRAS	442
ARID1A	HRAS	768
RBM10	HRAS	444
ARID2	HRAS	583
ARID1B	HRAS	520
PLCH1	HRAS	407
RAC1	HRAS	936
NRAS	HRAS	987
PTEN	HRAS	928
ASXL1	HRAS	688
PTF1A	HRAS	518
BCOR	HRAS	529
FAT4	HRAS	408
CDC42	HRAS	637
IGF2	HRAS	566
FGFR1	HRAS	981
SMARCA4	HRAS	527
NSD1	HRAS	400
TUBB2B	KIF5A	900
ATP2B3	KIF5A	448
DPYSL5	KIF5A	424
TUBA1A	KIF5A	889
IQCB1	KIF5A	461
WASHC5	KIF5A	641
RAC1	KIF5A	633
DYNC1H1	KIF5A	720
BICD2	KIF5A	464
KIF21A	KIF5A	678
TUBB2A	KIF5A	434
PAFAH1B1	KIF5A	453
CDC42	KIF5A	645
AFF3	KIF5A	467
FKRP	RAB3GAP1	535
TBC1D20	RAB3GAP1	764
DYNC1H1	RAB3GAP1	911
BICD2	RAB3GAP1	900
RAB3GAP2	RAB3GAP1	999
POLR3A	RAB3GAP1	428
PAFAH1B1	RAB3GAP1	716
TMEM67	RAB3GAP1	519
CC2D2A	RAB3GAP1	565
KCNQ1	CDKN1C	689
MYOD1	CDKN1C	861
PTEN	CDKN1C	476
GPC3	CDKN1C	551
IGF2	CDKN1C	733
SMARCA4	CDKN1C	437
TRIP13	HYLS1	467
B9D2	HYLS1	523
B9D1	HYLS1	543
SASS6	HYLS1	422
C2CD3	HYLS1	467
MKS1	HYLS1	559
DPH2	SLC35A2	586
B4GALT1	SLC35A2	671
COQ4	FDXR	457
WLS	EBP	499
DHCR7	EBP	813
KCNQ1	FTO	637
RPGRIP1L	FTO	756
EPG5	ROBO1	677
SEMA3E	ROBO1	519
RAC1	ROBO1	918
CNTNAP2	ROBO1	593
CDC42	ROBO1	948
FIG4	NEK1	443
IFT172	NEK1	537
KATNIP	NEK1	420
CEP120	NEK1	529
IQCB1	NEK1	610
IFT80	NEK1	637
NPHP1	NEK1	625
WDR35	NEK1	608
NPHP3	NEK1	625
EVC2	NEK1	561
KIAA0586	NEK1	527
BICD2	NEK1	439
DYNC2I2	NEK1	605
CEP104	NEK1	769
RPGRIP1L	NEK1	721
SPATA7	NEK1	535
DYNC2H1	NEK1	913
DYNC2I1	NEK1	676
TMEM67	NEK1	693
IFT140	NEK1	561
KIF5A	NEK1	498
PSAT1	MAGEL2	445
IGF2	MAGEL2	444
CDKN1C	MAGEL2	491
B9D2	TMEM218	504
TMEM231	TMEM218	477
B9D1	TMEM218	597
TMEM138	TMEM218	505
TCTN2	TMEM218	493
TMEM107	TMEM218	561
RBM10	TMEM218	449
RPGRIP1L	TMEM218	470
MKS1	TMEM218	463
TMEM237	TMEM218	519
TMEM67	TMEM218	525
CC2D2A	TMEM218	459
SMARCB1	DPF2	996
SMARCC2	DPF2	996
ARID1A	DPF2	996
SMARCE1	DPF2	996
ARID2	DPF2	835
ARID1B	DPF2	986
SMARCD1	DPF2	996
SMARCA4	DPF2	998
GOT2	MDH1	978
ACY1	MDH1	563
CEP41	TMEM216	692
B9D2	TMEM216	981
TMEM231	TMEM216	964
IFT172	TMEM216	510
B9D1	TMEM216	988
CSPP1	TMEM216	656
TMEM138	TMEM216	846
CEP164	TMEM216	471
PDE6D	TMEM216	443
CEP120	TMEM216	459
TCTN2	TMEM216	972
IQCB1	TMEM216	578
IFT80	TMEM216	535
NPHP1	TMEM216	863
TMEM107	TMEM216	943
WDR35	TMEM216	434
C2CD3	TMEM216	556
NPHP3	TMEM216	780
EVC2	TMEM216	450
OFD1	TMEM216	701
KIAA0586	TMEM216	534
AHI1	TMEM216	956
CEP104	TMEM216	438
RPGRIP1L	TMEM216	876
MKS1	TMEM216	983
ARL13B	TMEM216	782
KIF7	TMEM216	603
TCTN1	TMEM216	963
RPGRIP1	TMEM216	700
TMEM237	TMEM216	773
CPLANE1	TMEM216	796
TMEM67	TMEM216	987
CC2D2A	TMEM216	981
IFT140	TMEM216	408
TMEM218	TMEM216	459
LAMB1	DAG1	958
FKTN	DAG1	872
RXYLT1	DAG1	674
POMT2	DAG1	986
RAPSN	DAG1	994
GMPPB	DAG1	691
B4GAT1	DAG1	597
FKRP	DAG1	872
POMK	DAG1	967
POMGNT2	DAG1	968
DOK7	DAG1	452
LARGE1	DAG1	689
RAC1	DAG1	903
B3GALNT2	DAG1	966
POMGNT1	DAG1	985
POMT1	DAG1	987
MUSK	DAG1	651
LAMA1	DAG1	996
CDC42	DAG1	916
CRPPA	DAG1	629
ROBO1	DAG1	771
MAST1	APC2	423
DCHS1	APC2	560
DHCR7	MVK	794
CRPPA	MVK	762
EBP	MVK	536
TMEM107	AP1S2	416
OPHN1	AP1S2	420
L1CAM	AP1S2	499
SLC18A3	AP1S2	565
BCOR	AP1S2	521
WDR81	AP1S2	566
RAB3GAP1	AP1S2	596
ASNS	CEP290	414
CRX	CEP290	664
CEP41	CEP290	605
TULP1	CEP290	716
KCNJ13	CEP290	478
B9D2	CEP290	935
GUCY2D	CEP290	739
TMEM231	CEP290	926
IFT172	CEP290	640
ARL3	CEP290	534
B9D1	CEP290	964
CSPP1	CEP290	762
RPE65	CEP290	759
TMEM138	CEP290	720
CEP164	CEP290	793
SASS6	CEP290	488
PDE6D	CEP290	534
CEP120	CEP290	472
TCTN2	CEP290	952
IQCB1	CEP290	998
IFT80	CEP290	579
NPHP1	CEP290	940
TMEM107	CEP290	859
WDR35	CEP290	404
PIBF1	CEP290	523
C2CD3	CEP290	502
LRAT	CEP290	612
NPHP3	CEP290	846
OFD1	CEP290	808
IMPDH1	CEP290	608
KIAA0586	CEP290	686
TOPORS	CEP290	408
RD3	CEP290	648
CRB1	CEP290	720
AHI1	CEP290	987
INPP5E	CEP290	510
NMNAT1	CEP290	549
CEP104	CEP290	550
RPGRIP1L	CEP290	971
AIPL1	CEP290	746
LCA5	CEP290	799
MKS1	CEP290	976
SPATA7	CEP290	760
ARL13B	CEP290	854
KIF7	CEP290	581
TCTN1	CEP290	949
DYNC2H1	CEP290	573
RPGRIP1	CEP290	694
TMEM237	CEP290	704
CPLANE1	CEP290	660
TMEM67	CEP290	985
CC2D2A	CEP290	996
IFT74	CEP290	522
IFT140	CEP290	633
NEK1	CEP290	436
TMEM218	CEP290	432
TMEM216	CEP290	968
CPSF3	NUP37	918
COG1	NUP37	482
NPHP1	NUP37	512
GEMIN4	NUP37	902
POLR1A	BRF1	459
POLR3A	BRF1	951
TAF1	BRF1	439
CRX	RDH12	710
TULP1	RDH12	805
KCNJ13	RDH12	477
GUCY2D	RDH12	756
RPE65	RDH12	824
IQCB1	RDH12	650
LRAT	RDH12	975
IMPDH1	RDH12	724
TOPORS	RDH12	524
RD3	RDH12	688
CRB1	RDH12	805
NMNAT1	RDH12	578
AIPL1	RDH12	815
LCA5	RDH12	769
SPATA7	RDH12	799
RPGRIP1	RDH12	557
IFT140	RDH12	425
CEP290	RDH12	694
EXOC2	MAPKAPK5	548
GEMIN4	MAPKAPK5	562
IMPDH1	MAPKAPK5	461
CCDC32	CCDC32	543
LNPK	RFX7	580
SOX4	ZEB2	436
KRAS	ZEB2	490
MEF2C	ZEB2	538
PTEN	ZEB2	669
FOXC1	ZEB2	469
HRAS	ZEB2	487
TUBB2B	ADGRG1	515
TUBA1A	ADGRG1	468
SRPX2	ADGRG1	493
PAFAH1B1	ADGRG1	467
BMP4	ZNF423	402
TMEM231	ZNF423	438
TMEM138	ZNF423	429
CEP164	ZNF423	507
NPHP1	ZNF423	450
OFD1	ZNF423	407
AHI1	ZNF423	409
EBF3	ZNF423	442
RPGRIP1L	ZNF423	418
GLI3	ZNF423	448
TMEM237	ZNF423	414
CPLANE1	ZNF423	408
TMEM67	ZNF423	400
TMEM216	ZNF423	407
CEP290	ZNF423	671
TUBB2B	MAN2C1	416
B3GALNT2	MAN2C1	522
B4GALT1	MAN2C1	480
CPSF3	NUP88	913
GEMIN4	NUP88	904
DDX3X	NUP88	775
NUP37	NUP88	857
CPSF3	RBM8A	678
THOC2	RBM8A	683
DPH1	RBM8A	842
SMG9	RBM8A	746
EIF4A2	RBM8A	464
HNRNPH1	RBM8A	552
PHGDH	RBM8A	414
RNF113A	RBM8A	681
MPL	RBM8A	563
GLI3	RBM8A	459
DDX3X	RBM8A	516
SMARCA4	RBM8A	487
NUP37	RBM8A	628
NUP88	RBM8A	607
ROBO1	SEMA6B	487
TBC1D20	RAB18	714
DYNC1H1	RAB18	908
BICD2	RAB18	901
RAB3GAP2	RAB18	933
PAFAH1B1	RAB18	683
RAB3GAP1	RAB18	960
B9D2	CBY1	528
B9D1	CBY1	558
CEP164	CBY1	638
PACS1	CBY1	430
C2CD3	CBY1	537
OFD1	CBY1	480
AHI1	CBY1	551
MKS1	CBY1	436
ARL13B	CBY1	487
TMEM237	CBY1	464
PACS2	CBY1	453
CEP290	CBY1	579
POLR1A	TMCO1	403
DENND5A	TMCO1	414
FOXC1	TMCO1	502
GRM1	GRIA3	670
PPP1CB	GRIA3	632
KIF5A	GRIA3	870
ASXL3	PCGF2	601
BUB1B	PCGF2	720
ASXL1	PCGF2	913
BCOR	PCGF2	555
CEP41	TCTN3	679
B9D2	TCTN3	942
TMEM231	TCTN3	765
IFT172	TCTN3	527
B9D1	TCTN3	957
KATNIP	TCTN3	539
CSPP1	TCTN3	719
TMEM138	TCTN3	732
PDE6D	TCTN3	503
CEP120	TCTN3	562
TCTN2	TCTN3	890
IQCB1	TCTN3	508
NPHP1	TCTN3	691
TMEM107	TCTN3	537
C2CD3	TCTN3	609
NPHP3	TCTN3	519
OFD1	TCTN3	601
KIAA0586	TCTN3	586
AHI1	TCTN3	928
CEP104	TCTN3	505
RPGRIP1L	TCTN3	686
MKS1	TCTN3	971
ARL13B	TCTN3	604
KIF7	TCTN3	560
TCTN1	TCTN3	886
DYNC2I1	TCTN3	408
TMEM237	TCTN3	726
CPLANE1	TCTN3	743
TMEM67	TCTN3	941
CC2D2A	TCTN3	951
TMEM216	TCTN3	958
CEP290	TCTN3	685
CSPP1	ARMC9	625
DPH1	ARMC9	581
TXNDC15	ARMC9	630
TOGARAM1	ARMC9	541
DPH5	ARMC9	486
CEP104	ARMC9	638
