from_gene	to_gene	combined_score
ARL3	PDE6D	991
B9D1	PDE6D	504
CSPP1	PDE6D	741
TMEM138	PDE6D	547
CEP164	PDE6D	645
ZIC1	DPYSL5	408
TAF4	MED11	697
LAMB1	RAPSN	909
CRX	COG1	406
PMM2	COG1	503
VPS51	COG1	881
VPS4A	TUBA1A	700
TUBB2B	TUBA1A	986
ATP6V1B2	TUBA1A	403
TRIP13	BUB1	878
TAF4	BUB1	476
SASS6	BUB1	448
BUB1B	BUB1	998
CEP41	CEP120	453
B9D2	CEP120	420
TMEM231	CEP120	435
IFT172	CEP120	557
B9D1	CEP120	435
CSPP1	CEP120	677
TMEM138	CEP120	510
CEP164	CEP120	735
SASS6	CEP120	728
CEP41	TCTN2	703
B9D2	TCTN2	962
TMEM231	TCTN2	973
IFT172	TCTN2	422
B9D1	TCTN2	970
KATNIP	TCTN2	424
CSPP1	TCTN2	670
TMEM138	TCTN2	808
CEP164	TCTN2	519
PDE6D	TCTN2	486
CEP120	TCTN2	404
EXOC2	COG8	635
PMM2	COG8	540
VPS51	COG8	920
COG1	COG8	999
KRAS	ITPR1	511
ATP2B3	ITPR1	533
LETM1	ITPR1	425
BUB1B	ESCO2	840
BUB1	ESCO2	801
RXYLT1	PLG	642
ASNS	GMPPB	584
FKTN	GMPPB	806
RXYLT1	GMPPB	840
POMT2	GMPPB	848
PMM2	GMPPB	968
ATP6V1B2	GMPPB	500
RAPSN	GMPPB	452
FKTN	B4GAT1	780
RXYLT1	B4GAT1	984
POMT2	B4GAT1	776
GMPPB	B4GAT1	634
CRX	IQCB1	520
TULP1	IQCB1	655
KCNJ13	IQCB1	514
B9D2	IQCB1	684
GUCY2D	IQCB1	625
TMEM231	IQCB1	633
IFT172	IQCB1	463
ARL3	IQCB1	519
B9D1	IQCB1	628
RPE65	IQCB1	620
TMEM138	IQCB1	458
CEP164	IQCB1	527
PDE6D	IQCB1	541
TCTN2	IQCB1	621
B9D2	IFT80	524
IFT172	IFT80	911
B9D1	IFT80	450
CSPP1	IFT80	422
EVC	IFT80	518
CEP120	IFT80	581
TCTN2	IFT80	414
IQCB1	IFT80	431
CEP41	NPHP1	576
B9D2	NPHP1	871
TMEM231	NPHP1	874
IFT172	NPHP1	521
ARL3	NPHP1	481
B9D1	NPHP1	879
KATNIP	NPHP1	406
CSPP1	NPHP1	642
TMEM138	NPHP1	845
CEP164	NPHP1	746
BUB1	NPHP1	407
CEP120	NPHP1	403
TCTN2	NPHP1	776
IQCB1	NPHP1	819
IFT80	NPHP1	412
TRIP13	PRKDC	542
PI4KA	PRKDC	424
KRAS	PRKDC	409
B9D2	TMEM107	879
TMEM231	TMEM107	926
B9D1	TMEM107	901
TMEM138	TMEM107	568
TCTN2	TMEM107	944
NPHP1	TMEM107	472
IFT172	WDR35	939
B9D1	WDR35	498
EVC	WDR35	561
CEP120	WDR35	475
IFT80	WDR35	968
THOC2	USP9X	588
IQCB1	USP9X	544
PPP1R21	PIBF1	640
CEP120	PIBF1	441
TRIP13	CEP57	536
CEP164	CEP57	430
SASS6	CEP57	423
BUB1B	CEP57	715
VPS35L	WASHC5	630
KRAS	TUBB3	440
TUBB2B	TUBB3	496
TUBA1A	TUBB3	993
H3-3A	ARID1A	835
KRAS	ARID1A	772
SMARCB1	ARID1A	999
SMARCC2	ARID1A	999
ZIC1	SOX11	515
H3-3A	SMARCE1	821
SMARCB1	SMARCE1	999
SMARCC2	SMARCE1	999
ARID1A	SMARCE1	999
SMARCC2	MRE11	526
PRKDC	MRE11	908
FKTN	FKRP	992
RXYLT1	FKRP	986
POMT2	FKRP	911
GMPPB	FKRP	754
B4GAT1	FKRP	787
TRIP13	TSEN54	837
HMBS	TSEN54	568
TSEN2	TSEN54	999
ARID1A	RBM10	562
FKTN	POMK	985
RXYLT1	POMK	934
POMT2	POMK	883
GMPPB	POMK	858
B4GAT1	POMK	855
PRKDC	POMK	547
FKRP	POMK	823
ATP6V1E1	ATP6V0A2	977
SRD5A3	ATP6V0A2	406
PMM2	ATP6V0A2	605
ATP6V1A	ATP6V0A2	987
ATP6V1B2	ATP6V0A2	981
EXOC2	RAB11B	678
DENND5A	RAB11B	424
CEP41	C2CD3	466
B9D2	C2CD3	504
TMEM231	C2CD3	603
IFT172	C2CD3	611
B9D1	C2CD3	519
CSPP1	C2CD3	561
EVC	C2CD3	436
TMEM138	C2CD3	601
CEP164	C2CD3	703
PDE6D	C2CD3	434
CEP120	C2CD3	728
TCTN2	C2CD3	467
NPHP1	C2CD3	537
KRAS	ARID2	520
SMARCB1	ARID2	997
SMARCC2	ARID2	995
ARID1A	ARID2	606
SMARCE1	ARID2	997
TRIP13	KNL1	460
SASS6	KNL1	465
BUB1B	KNL1	999
BUB1	KNL1	999
ESCO2	KNL1	515
H3-3A	CCDC32	948
POGZ	CCDC32	820
CRX	LRAT	681
TULP1	LRAT	737
FLVCR2	LRAT	645
GUCY2D	LRAT	686
RPE65	LRAT	987
IQCB1	LRAT	556
SEMA3E	RERE	432
CEP41	NPHP3	507
B9D2	NPHP3	737
TMEM231	NPHP3	732
IFT172	NPHP3	530
ARL3	NPHP3	883
B9D1	NPHP3	736
TMEM138	NPHP3	426
CEP164	NPHP3	850
PDE6D	NPHP3	459
TCTN2	NPHP3	695
IQCB1	NPHP3	806
IFT80	NPHP3	537
NPHP1	NPHP3	883
BUB1B	TUBB	587
TUBA1A	TUBB	973
NPHP1	TUBB	550
NPHP3	TUBB	447
BMP4	MEF2C	559
MYOD1	MEF2C	991
ARID1A	MEF2C	467
VPS4A	TUBB4B	664
ATP6V1B2	TUBB4B	433
TUBA1A	TUBB4B	968
TUBB	TUBB4B	981
B9D2	EVC2	423
IFT172	EVC2	566
B9D1	EVC2	405
EVC	EVC2	993
TMEM138	EVC2	442
GDF6	EVC2	416
CEP120	EVC2	470
IFT80	EVC2	611
WDR35	EVC2	690
TRIP13	ATR	709
CEP164	ATR	926
BUB1B	ATR	425
BUB1	ATR	534
ESCO2	ATR	413
PRKDC	ATR	481
MRE11	ATR	985
FKTN	POMGNT2	884
RXYLT1	POMGNT2	943
POMT2	POMGNT2	988
GMPPB	POMGNT2	833
B4GAT1	POMGNT2	820
FKRP	POMGNT2	843
POMK	POMGNT2	943
CEP41	OFD1	534
TULP1	OFD1	721
B9D2	OFD1	544
TMEM231	OFD1	683
IFT172	OFD1	684
B9D1	OFD1	567
CSPP1	OFD1	783
TMEM138	OFD1	611
CEP164	OFD1	688
SASS6	OFD1	413
CEP120	OFD1	513
TCTN2	OFD1	619
IQCB1	OFD1	619
IFT80	OFD1	514
NPHP1	OFD1	700
PIBF1	OFD1	815
C2CD3	OFD1	891
